ID,Name_1,Name_2,long,lat,CL,Demand
1,Abia,Aba North,7.356,5.11,2,140000
2,Abia,Aba South,7.344,5.056,2,559900
3,Abia,Arochukwu,7.703,5.569,2,221800
4,Abia,Bende,7.57,5.609,2,252300
5,Abia,Ikwuano,7.584,5.363,2,180600
6,Abia,Isiala Ngwa North,7.447,5.359,2,201800
7,Abia,Isiala Ngwa South,7.397,5.273,2,179000
8,Abia,Isuikwuato,7.493,5.786,2,151700
9,Abia,Obi Ngwa,7.453,5.084,2,238300
10,Abia,Ohafia Abia,7.768,5.687,2,322200
11,Abia,Osisioma Ngwa,7.312,5.16,2,289100
12,Abia,Ugwunagbo,7.314,5.118,2,111800
13,Abia,Ukwa East,7.425,4.916,2,76200
14,Abia,Ukwa West,7.255,4.911,2,114400
15,Abia,Umu-Nneochi,7.464,5.952,15,213700
16,Abia,Umuahia North,7.426,5.591,2,292300
17,Abia,Umuahia South,7.4,5.457,2,182200
18,Adamawa,Demsa,12.291,9.459,27,238400
19,Adamawa,Fufore,12.468,9.007,27,279900
20,Adamawa,Ganye,11.93,8.438,27,227100
21,Adamawa,Girie,12.614,10.184,36,173500
22,Adamawa,Gombi,12.545,9.41,27,197500
23,Adamawa,Guyuk,12.016,9.765,27,235900
24,Adamawa,Hong,12.999,10.318,36,226100
25,Adamawa,Jada,12.32,8.612,27,225100
26,Adamawa,Lamurde,11.806,9.602,27,148700
27,Adamawa,Madagali,13.572,10.797,36,180600
28,Adamawa,Maiha,13.206,9.873,36,147200
29,Adamawa,Mayo-Bel,12.033,8.804,27,204200
30,Adamawa,Michika,13.477,10.598,36,207500
31,Adamawa,Mubi North,13.382,10.376,36,202500
32,Adamawa,Mubi South,13.431,10.184,36,173700
33,Adamawa,Numan,11.845,9.366,27,122300
34,Adamawa,Shelleng,12.194,9.723,27,198400
35,Adamawa,Song,12.557,9.756,27,260900
36,Adamawa,Toungo,11.88,8.02,27,69700
37,Adamawa,Yola North,12.522,9.236,27,266800
38,Adamawa,Yola South,12.604,9.134,27,262200
39,Akwa Ibom,Abak,7.77,5.027,2,195400
40,Akwa Ibom,Eastern Obolo,7.728,4.515,2,84300
