id,name,address,city,zip,longitude,latitude,population
0,RSS,7777 Washington Avenue,Klein,77379,-95.436958,29.779631,0
1,Klein High School,16715 Stuebner-Airline,Houston,77032,-95.52307,30.020329,118413
2,MO Campbell Education Center,1865 Aldine Bender,Katy,77493,-95.359396,29.931701,59378
3,Rhodes Stadium - Katy,1733 Katyland Drive,Houston,77089,-95.805101,29.796431,99375
4,Sagemont Church,11300 South Sam Houston Parkway East,Houston,77064,-95.219793,29.598091,63958
5,Sam Houston Race Park,7575 N. Sam Houston Parkway West,Pasadena,77505,-95.533034,29.932055,134413
6,San Jacinto College CENTRAL,8060 Spencer Highway,Houston,77044,-95.113964,29.659826,79990
7,Summer Creek High School,14000 Weckford High School,Waller,77484,-95.245786,29.595033,58404
8,Waller ISD Stadium,20735 Stoakes Road,Conroe,77384,-95.914379,30.075356,17548
9,Lone Star College Montgomery Campus,3200 College Park Drive,Shenandoah,77385,-95.28119,30.12724,4181
10,Woodforest Stadium,19115 David Memorial Drive,Huntsville,77320,-95.264803,30.1144,14046
11,Mance Park Middle School,1010 Eighth Street,Houston,77073,-95.54983,30.72724,43474
12,Andy Dekaney High School,22351 Imperial Valley Dr.,Humble,77346,-95.419336,30.018464,148962
13,Atascocita High School,13300 Will Clayton Parkway,Cypress,77433,-95.172707,29.981498,123413
14,Berry Center,8877 Barker Cypress,Crosby,77532,-95.686076,29.911038,223202
15,Crosby High School,14703 FM 2100,Houston,77041,-95.063668,29.900089,28830
16,Cy-Ridge High School,7900 N. Eldridge,Galena Park,77547,-95.60614,29.892698,154191
17,Galena Park High School,1000 Keene St.,Baytown,77521,-95.236412,29.739094,37112
18,Goose Creek Memorial High School,6001 E. Wallisville Road,Huffman,77336,-94.971193,29.824776,89685
19,Hargrave High School,3407 Huffman-Eastgate,Spring,77388,-95.060545,30.041024,17275
20,Klein Collins High School,20811 Ella Blvd.,Spring,77389,-95.476905,30.061541,102055
21,Klein Oak High School,22603 Northcrest,La Porte,77571,-95.517169,30.092901,143220
22,LaPorte High School,301 E Fairmont Parkway,Houston,77049,-95.016851,29.652615,35774
23,North Shore Senior High School,353 N. Castlegory,Pasadena,77504,-95.172767,29.810219,126598
24,Pasadena Memorial High School,4410 Crenshaw,Tomball,77357,-95.175524,29.640393,97657
25,Tomball High School,30330 Quinn Rd,Tomball,77377,-95.629049,30.110365,57914
26,Tomball Memorial High School,19100 Northpointe Ridge Lane,Bridge City,77611,-95.634278,30.034958,110954
27,Bridge City Jr. High School,300 Bower Dr.,Orange,77630,-93.821,30.03875,7032
28,Orangefield High School,10058 Hwy 105,Orange,77632,-93.833,30.07595,11671
29,Mauriceville Middle School,19952 FM 1130,Vidor,77662,-93.98676,30.20296,8626
30,Oak Forest Elementary School,2400 Hwy 12,Orange,77630,-93.9868,30.14477,19871
31,West-Orange Stark High School,1400 Newton,Port Arthur,77642,-93.765,30.07688,29673
32,Thomas Jefferson Memorial Middle School,2200 Jefferson Drive,Port Arthur,77641,-93.9911,29.8526,7597
33,Lamar State College Port Arthur,1500 Proctor,Port  Neches,77651,-93.9273932,29.87946343,23234
34,Port Neches Groves High School,1401 Merriman,Groves,77619,-93.95421814,29.98780441,49156
35,Groves Elementary,3109 Cleveland Street,Sabine Pass,77655,-93.90598234,29.94432735,31050
36,Sabine Pass High School,5641 Gulfway Drive,Willis,77378,-93.897352,29.729841,0
37,Willis High School,1201 FM 830,Conroe,77384,-95.47887,30.39133,111601
38,Conroe High School,3200 West Davis,Magnolia,77353,-95.29213,30.19181,30697
39,Magnolia High School,14250 Fm 1488,Montgomery,77356,-95.6876,30.22647,59403
40,Montgomery High School,22825 Hwy 105 West,The Woodlands,77384,-95.72042,30.38969,32834
41,The Woodlands College Park High School,3701 College Park Dr,New Caney,77365,-95.29555,30.09259,57504
42,New Caney 6th Grade Campus,22784 Highway 59,Splendora,77372,-95.23283,30.11846,13373
43,Splendora High School,23747 FM 2090 West,Conroe,77391,-95.19794,30.24633,29980
44,Travis Intermediate School,1100 N. Thompson St.,Bellville,77418,-95.27441,30.19156,8807
45,Bellville High School,850 Schumann Road,Sealy,77474,-96.25418,29.92467,16623
46,Sealy High School,2372 Championship Drive,Beaumont,77705,-96.0787,29.7704,12015
47,Austin Middle School - POD A,3410 Austin,Beaumont,77702,-94.1381252,30.1021009,5324
48,Central High School - POD B,88 Jaguar Dr,Beaumont,77705,-94.133166,30.085202,17312
49,Ozen High School - POD C,3443 Fannett Rd,Beaumont,77703,-94.1553,29.9694,9711
50,South Park MS - POD E,4500 Highland Dr,Beaumont,77706,-94.0833438,30.0428824,38280
51,Westbrook High School - POD F,8750 Phelan Blvd,Beaumont,77701,-94.167107,30.094918,44928
52,Wiilie Ray Smith MS - POD D,4415 Concord,Anahuac,77514,-94.1380616,30.1161366,26439
53,Anahuac Elementary School,905 South Ross Sterling,Mont Belvieu,77580,-94.66918357,29.78253255,7577
54,Barbers Hill High School,9600 Eagle Drive,Winnie,77665,-94.855727,29.873761,24823
55,East Chambers Elementary School,316 East Fear Road,Columbus,78934,-94.35119,29.797771,9189
56,Columbus High School,105 Cardinal Lane,Weimar,78962,-96.56401,29.70531,14138
